 ,Kien truc may tinh,Ly thuyet do thi,Nhap mon cong nghe thong tin,Co so lap trinh,Ki nang giao tiep,Toan cao cap A1,Sinh hoat dau khoa,Phap luat dai cuong,Tu tuong Ho Chi Minh,Giao duc the chat,Ki thuat lap trinh,Co so du lieu,Tieng Anh tong quat 1 ,Khoi nghiep,Toan cao cap A2,Nhung nguyen li co ban cua Chu nghia Mac - Lenin,He quan tri co so du lieu,Toan roi rac,Tieng Anh tong quat 2,Thiet ke wed,Duong loi cach mang cua Dang cong san Viet Nam,Cau truc du lieu va giai thuat,He dieu hanh,Tieng Anh giao tiep quoc te 1 ,Lap trinh Web,Mang may tinh,Qui hoach tuyen tinh,Tieng Anh giao tiep quoc te 2 ,An toan thong tin,Ky nang giao tiep(HP2),Giao duc quoc phong,Do an co so KTPM,Chuyen de.NET,Chuyen de Java,Phan tich thiet ke he thong thong tin,He thong thong tin quan li,Cong nghe phan mem,Lap trinh tren thiet bi di dong,Phan mem ma nguon mo,Cong nghe Wed tien tien,Tieng Anh chuyen nganh,Xac xuat thong ke,Cong nghe phan mem nang cao,Co so du lieu nang cao,Bao dam chat luong phan mem,Chuyen de chuyen sau KTPM 1,Chuyen de chuyen sau KTPM 2,Do an chuyen nganh KTPM,Quan tri du an,Chuyen de tot nghiep KTPM 1,Chuyen de tot nghiep KTPM 2,Chuyen de tot nghiep KTPM 3,Thuc tap tot nghiep,Sinh hoat co van hoc tap,Trung binh tich luy,Xep loai
Diem thi,"6,40","4,00","5,00","7,00","10,0","4,00",,"5,10","4,00","6,00","8,80","7,00","5,00","9,00","6,00","4,00","6,60","5,50","6,00","6,00","5,50","4,00","8,00","6,20","4,00","5,50","5,00","6,00","4,80","5,00","6,00","7,50","8,50","6,30","7,50",,"8,50","7,00","4,00",,"4,50","5,00","6,00",,"7,50","8,00","7,60","5,50",,"6,40","6,00","6,50","8,00",,,
Diem tong ket,"6,20","5,20","6,20","7,00","10,0","5,20",,"6,50","6,50","6,60","7,80","6,80","5,60","9,20","6,50","5,20","7,40","4,70","6,20","5,80","6,60","6,30","7,70","6,90","4,40","6,20","6,50","6,20","5,70","5,90","6,00","7,40","8,50","7,30","8,00",,"7,30","6,90","6,20",,"4,80","5,00","6,40",,"7,50","6,60","8,20","6,60",,"5,70","6,60","6,60","8,00",,"7,47",Kha
Diem thuong ki,,,,,,,,,,,,,,"7,80",,,,,,"9,00",,"5,50",,,,,,,,,,,,,"7,50",,"6,00","6,00","5,50",,"5,40",,"7,00",,"8,00","6,00",,,,"6,30","7,00","8,30","7,00",,,
Diem thi,"6,70","5,70","5,30","6,00","10,0","5,50",,"6,60","6,00","9,00","7,00","9,00","7,00","8,50","7,00","7,00","7,50","5,00","6,00","7,50","4,50","4,50","5,90","6,00","7,00","8,00","8,50","6,00","7,00","4,80","6,00","5,00","8,50","6,00","7,50",,"4,00","6,00","6,00",,"4,00","4,30","6,00",,"8,00","4,00","7,00","8,70",,"8,50","7,00","8,00","9,00",,,
Diem tong ket,"6,60","6,20","6,40","6,80","9,20","6,90",,"7,80","6,00","9,00","7,60","8,40","6,80","8,60","6,80","7,50","7,30","6,20","6,80","8,10","5,10","5,20","6,70","6,60","7,00","8,40","8,50","6,80","6,90","5,50","6,00","5,90","8,60","5,70","7,70",,"5,40","6,00","5,90",,"5,00","5,40","6,90",,"8,00","5,20","7,00","8,70",,"7,00","7,00","8,20","7,40",,"6,76",Trung binh
Diem thuong ki,,,,,,,,,,,,,,"7,40",,,,"8,50",,"6,50",,,,,,,,,,,,,,"8,30","5,50",,"5,70","6,90","7,50",,"7,10",,"9,30",,"5,50","5,30","8,50",,,"9,60","8,50","7,50",,,,
Diem thi,"4,70","4,80","7,30","5,00","10,0","5,50",,"4,00","8,00","7,00","4,00","6,00","8,00","8,50","8,50","4,50","8,00","8,50","7,00","7,50","4,00","8,40","4,00","5,90","6,30","8,50","7,50","7,00","5,00","4,50","8,00","8,00","5,00","8,00","5,50",,"5,50","7,00","8,50",,"5,50","8,00","7,00",,"7,00","6,00","6,00","7,50",,"8,50","8,00","9,00","7,50",,,
Diem tong ket,"5,20","5,90","7,20","5,60","8,30","6,30",,"5,20","8,10","7,00","5,80","6,40","8,20","8,00","8,00","7,00","8,40","7,70","6,90","6,60","5,40","7,20","4,80","6,50","6,80","7,30","7,50","6,90","6,90","5,90","8,00","7,70","5,60","8,20","5,00",,"5,70","6,90","7,70",,"6,70","8,20","8,30",,"6,30","6,10","7,00","7,50",,"9,30","8,40","7,80","7,50",,"7,65",Kha
Diem thuong ki,,,,,,,,,,,,,,"7,50",,,,,,"10,00",,"6,50",,,,,,,,,,,,,"7,10",,"7,40","6,90","10,00",,,,"5,50",,"8,50","10,00","9,50",,,"7,00","7,00","8,30",,,,
Diem thi,"8,00","6,00","7,40","7,00","10,0","5,50",,"6,20","4,80","6,00","9,00","8,00","5,00","8,00","7,00","5,60","9,00","8,00","5,00","8,00","5,50","8,50","9,10","5,00","4,00","4,90","7,00","5,00","8,60","7,00","7,00","7,50","8,00","8,00","6,00",,"5,50","5,50","7,50",,"7,00","9,00","4,00",,"7,00","10,00","9,00","8,50",,"7,00","8,00","8,50","8,10",,,
Diem tong ket,"7,00","6,30","7,60","7,60","9,90","6,90",,"6,90","6,30","6,00","9,20","8,00","5,60","7,80","7,60","6,20","8,80","7,80","6,40","8,90","6,90","7,30","8,70","5,80","6,90","7,50","8,00","6,40","7,60","7,60","7,00","7,50","7,90","8,10","6,80",,"6,90","6,50","8,80",,"6,70","8,40","5,40",,"7,40","10,00","9,10","8,50",,"7,00","7,20","8,30","8,10",,"6,52",Trung binh
Diem thuong ki,,"6,30",,,,,,,"5,10",,,,,"8,10","8,00",,,,,,"3,80",,,,,,"6,50",,,"6,40",,"9,30","7,00","10,00",,,"8,30","8,50","6,00",,"8,00",,"9,00",,"9,50","8,80","7,10","9,20",,,"7,90","7,80",,,,
Diem thi,"6,30","4,00","5,30","9,00","10,0","4,00",,"5,80","6,50","4,00","5,00","4,60","6,00","8,00","6,00","7,00","6,60","4,50","6,00","6,50","5,00","7,00","7,00","4,20","6,20","4,00","7,00","6,00","4,00","5,50","6,00","7,00","7,00","5,00","7,50",,"7,50","4,50","4,40",,"5,00","4,40","9,50",,"8,50","8,00","5,50","9,00",,"8,60","5,30","6,00","8,50",,,
Diem tong ket,"6,20","5,60","6,20","9,00","9,90","5,20",,"6,50","5,60","5,00","4,20","5,70","6,80","8,10","6,90","7,70","6,00","5,50","6,90","7,00","4,30","6,60","7,00","5,90","6,20","5,60","6,70","6,90","4,80","6,20","6,00","7,30","7,00","7,50","7,50",,"7,50","6,10","5,00",,"6,80","5,00","9,30",,"8,50","8,60","6,70","9,20",,"8,60","6,30","6,50","8,50",,"7,34",Kha
Diem thuong ki,,,,,,,,,,,,,,"7,00",,,,,,"6,00",,"5,50",,,,,,,,,,,,,"8,40",,"6,60","7,40","9,50",,,,"6,50",,"7,00","10,00","10,00",,,"9,10","9,00","9,00",,,,
Diem thi,"7,70","8,00","6,10","5,00","10,0","5,50",,"9,00","6,80","8,00","7,00","8,00","9,00","7,00","8,50","8,10","8,50","4,00","9,00","6,50","6,00","8,00","9,90","7,00","7,00","6,50","6,50","9,00","8,60","7,50","7,00","8,00","8,00","8,50","7,50",,"8,50","7,00","8,50",,"7,00","7,00","6,00",,"5,00","9,50","8,00","7,00",,"8,50","7,50","9,00","8,50",,,
Diem tong ket,"7,00","7,90","6,70","5,80","9,20","6,90",,"9,00","7,30","8,00","7,80","7,80","8,80","7,00","8,10","7,70","7,90","5,20","9,20","5,90","7,00","6,30","8,70","7,60","8,10","7,70","7,30","9,20","7,60","7,80","7,00","8,00","7,90","8,90","8,20",,"7,20","7,30","8,80",,"6,90","8,20","6,50",,"5,90","9,10","7,90","7,00",,"9,00","8,70","9,00","8,50",,"7,10",Kha
Diem thuong ki,,,,,,,,,,,,,,"9,80",,,,"7,75",,"5,50",,,,,,,,,,,,,,"6,40","5,00",,"5,00","10,00","8,50",,"7,10",,"6,50",,"7,20",,"8,60","9,80",,"9,60","7,60",,"9,00",,,
Diem thi,"8,20","4,00","7,20","6,00","10,00","6,00",,"6,00","7,50","5,00","6,00","8,00","7,50","9,00","9,50","7,00","8,00","7,50","7,80","5,50","8,00","9,20","5,50","6,80","7,40","6,50","6,50","7,80","6,00","4,00","7,00","7,00","6,50","5,50","6,00",,"4,00","6,00","7,00",,"6,50","5,30","6,00",,"9,00","7,00","8,00","5,00",,"9,00","7,00","8,30","9,00",,,
Diem tong ket,"7,90","5,60","7,30","6,80","9,50","7,00",,"7,00","7,50","5,00","6,60","8,40","6,90","8,20","9,10","8,10","8,20","7,70","8,30","5,60","7,90","8,30","6,10","7,30","8,50","7,30","7,00","8,30","7,70","5,40","7,00","7,10","6,70","6,20","6,10",,"4,30","8,10","7,70",,"7,00","7,00","6,20",,"8,10","7,00","8,40","8,80",,"9,40","7,40","8,30","9,00",,"7,01",Kha
Diem thuong ki,,,,,,,,,,,,,,"9,30",,,,"8,50",,"8,00",,,,,,,,,,,,"6,60","6,30","8,10","7,00",,"7,10","5,50","7,50",,"5,30",,"5,00",,"9,40","8,50",,"6,00",,"6,30","6,50","8,50",,,,
Diem thi,"4,10","8,00","5,90","6,00","10,00","6,50",,"7,60","5,80","7,00","7,00","6,50","4,00","9,50","4,00","5,20","6,00","10,00","7,80","8,50","4,50","4,60","4,00","4,00","9,00","9,00","8,50","7,80","5,30","6,50","7,00","5,00","7,00","9,00","7,50",,"6,50","8,50","8,00",,"6,00","9,50","8,50",,"4,50","8,00","7,50","4,80",,"7,00","8,00","9,50","8,40",,,
Diem tong ket,"4,50","8,00","6,10","6,60","8,80","7,30",,"7,20","5,80","7,00","7,80","6,50","5,90","9,70","4,40","6,10","7,00","8,30","7,60","7,20","5,90","5,60","5,20","7,10","8,40","8,90","8,60","7,60","6,50","6,50","7,00","6,10","6,50","8,40","7,20",,"7,00","6,20","7,80",,"5,50","9,70","6,40",,"7,00","8,20","7,50","5,30",,"6,50","6,80","8,70","8,40",,"7,40",Kha
Diem thuong ki,,,,,,,,"6,00",,,,,,"9,80",,,,,"7,50",,,,,,,,,"7,50",,,,,,,"10,00",,"6,30","7,10","7,50",,"6,90",,"8,40",,"6,00","9,50","6,80",,,"8,60","9,50","6,80",,,,
Diem thi,"6,80","5,00","8,00","5,00","10,00","7,00",,"5,50","7,50","8,00","5,00","6,00","6,00","9,50","5,50","9,00","4,00","6,00","8,00","7,60","8,00","4,00","4,30","8,40","4,60","5,00","4,80","8,00","5,80","4,00","5,60","5,50","8,00","6,00","8,00",,"5,50","6,00","5,50",,"5,00","4,70","6,50",,"7,00","6,50","6,00","7,00",,"8,00","8,00","9,00","8,60",,,
Diem tong ket,"7,10","5,60","8,00","6,40","9,50","7,00",,"5,30","7,50","8,00","5,80","6,80","7,00","9,80","6,50","9,10","5,20","7,40","7,50","8,40","7,90","5,60","6,00","7,60","7,00","5,40","5,90","7,50","6,30","4,80","6,20","6,10","8,10","6,50","8,70",,"6,10","6,80","6,50",,"6,30","5,80","7,70",,"6,60","7,90","6,30","7,00",,"8,40","9,20","7,20","8,60",,"7,49",Kha
Diem thuong ki,,,,,,,,,,,,,,"8,40",,,,,,"6,00",,"6,50",,,,,,,,,,,,,"9,00",,"5,40","7,10","7,00",,"7,40",,"7,80",,"8,00","6,00","7,00",,,"9,30","8,50","6,20",,,,
Diem thi,"7,90","8,00","7,80","10,00","10,00","7,50",,"9,00","7,20","8,00","9,00","8,00","9,00","7,50","7,50","7,60","8,00","6,00","9,00","6,00","6,00","6,00","8,60","7,00","7,00","5,10","10,00","9,00","6,20","7,00","7,00","7,50","5,00","7,00","8,00",,"5,00","6,50","7,50",,"6,00","9,00","8,50",,"8,00","6,00","4,50","6,50",,"9,00","6,00","5,50","9,00",,,
Diem tong ket,"7,30","7,20","7,70","9,40","8,80","8,10",,"9,20","7,20","8,00","9,00","8,40","8,80","8,00","6,70","7,00","7,40","6,40","8,00","6,00","6,20","5,70","7,90","7,20","7,30","5,90","9,60","8,00","6,10","7,20","7,00","7,50","5,60","6,90","8,60",,"5,30","7,00","7,50",,"7,00","9,40","7,50",,"8,00","6,00","5,30","6,50",,"9,20","8,00","5,80","9,00",,"7,40",Kha
Diem thuong ki,,,,,,,,,,,,,,"10,00",,,,"8,50",,"6,00",,,,,,,,,,,,,"6,70","4,90","8,50",,"8,00","5,00","6,00",,"7,00",,"5,50",,"7,00","9,50",,,,"9,50","8,80","6,70","8,00",,,
Diem thi,"6,00","7,70","5,00","8,50","10,00","9,00",,"4,00","7,00","6,00","10,00","5,00","8,50","9,00","8,30","5,30","5,00","5,00","7,20","7,00","7,00","7,80","8,00","6,90","4,00","8,50","7,00","7,20","9,00","10,00","7,00","8,00","5,00","7,00","7,50",,"8,00","7,50","6,00",,"6,50","8,00","7,00",,"9,80","6,00","8,00","9,00",,"7,50","8,00","7,30","7,00",,,
Diem tong ket,"6,60","7,30","5,80","9,10","9,90","9,00",,"5,20","7,20","6,20","8,80","5,40","9,10","9,70","7,70","7,70","6,40","7,30","7,10","6,50","6,60","6,50","7,40","6,90","5,00","9,10","7,00","7,10","9,30","10,00","7,00","8,70","6,20","5,50","7,90",,"8,00","6,70","6,00",,"6,90","8,00","6,30",,"8,80","7,40","8,00","9,00",,"9,10","8,60","6,80","7,70",,"7,90",Kha
Diem thuong ki,,,,,,,,,,,,,,"8,00",,,,,,"9,50",,"6,00",,,,,,,,,,,,,"8,40",,"7,10","5,90","9,50",,"8,40",,"8,00",,"7,00","10,00","6,00",,,"7,00","9,00","7,50",,,,
Diem thi,"7,00","7,00","7,00","5,00","10,00","6,50",,"6,80","6,80","8,00","7,00","8,00","6,00","7,50","7,50","5,50","6,00","5,00","7,00","8,00","4,70","5,50","6,10","6,00","9,00","5,00","8,50","7,00","8,20","6,00","7,00","7,50","8,00","8,50","7,50",,"8,00","7,00","9,00",,"7,80","9,00","5,00",,"8,50","9,00","7,00","7,50",,"8,00","8,50","8,00","8,20",,,
Diem tong ket,"6,80","6,60","7,40","5,80","10,00","7,30",,"6,90","7,20","8,00","8,00","8,40","6,40","7,70","7,30","5,90","6,40","6,00","7,80","7,70","5,50","5,30","7,30","7,00","9,30","7,90","8,70","7,80","6,90","7,00","7,00","7,50","8,40","8,70","8,20",,"7,40","6,20","9,30",,"8,00","7,90","6,80",,"7,90","9,20","6,70","7,50",,"7,30","8,90","7,60","8,20",,"6,21",Kha
Diem thuong ki,,,,,,,,,"6,40",,,,,"4,50",,,,"9,00",,,,,,,,,,,,,,"6,60","6,90","7,00","5,50",,"5,50","9,50","7,20",,"8,00",,"7,50",,"9,00",,"6,20","9,00",,"9,80","7,80","8,20","9,50",,,
Diem thi,"6,30","8,00","5,00","7,00","10,00","4,00",,"8,20","6,00","6,40","7,00","7,00","5,00","6,00","6,00","4,90","5,00","8,00","7,40","4,00","4,50","4,50","4,00","5,10","4,00","4,80","7,00","7,40","4,80","7,00","7,00","6,50","6,00","5,00","7,00",,"4,50","8,00","4,00",,"7,00","5,00","8,00",,"9,00","7,70","5,00","8,50",,"7,50","5,90","7,50","8,00",,,
Diem tong ket,"6,60","6,40","6,00","7,00","9,50","6,00",,"7,50","6,30","6,60","8,20","7,00","6,00","5,80","7,20","5,30","6,00","8,30","7,40","4,80","5,50","6,00","5,20","6,10","4,80","6,30","7,00","7,40","7,80","7,00","7,00","6,60","6,60","6,40","5,90",,"5,30","8,60","5,40",,"7,70","5,60","7,80",,"9,00","7,70","5,90","8,90",,"9,30","7,40","7,90","9,20",,"6,96",Trung binh
Diem thuong ki,,,,,,,,,,,,,,"6,00",,,,,,"8,75",,"8,50",,,,,,,,,,,,,"7,80",,"7,10","6,60","9,30",,"6,90",,"6,00",,"9,10","10,00","10,00",,,"8,10","9,80","9,50",,,,
Diem thi,"7,60","8,00","7,40","8,00","10,00","8,50",,"7,60","8,00","8,00","8,00","9,00","6,00","7,00","7,50","5,30","9,00","5,00","6,00","8,50","4,80","8,00","6,60","6,00","9,00","6,30","6,50","6,00","9,60","10,00","8,00","7,00","8,00","6,00","5,50",,"7,00","6,00","7,00",,"7,00","8,50","7,00",,"8,50","10,00","9,00","8,00",,"9,00","8,00","9,00","8,30",,,
Diem tong ket,"7,20","8,30","8,40","8,60","9,50","9,10",,"8,60","8,00","8,00","8,60","9,40","6,60","6,60","7,90","6,20","9,00","6,40","7,00","8,40","6,50","7,40","7,80","6,40","9,30","8,10","7,10","7,00","8,80","9,00","8,00","6,70","8,90","6,30","6,40",,"7,10","6,40","8,30",,"6,90","9,10","7,40",,"8,70","9,80","9,10","8,00",,"8,40","9,40","9,40","8,30",,"7,02",Kha
Diem thuong ki,,"6,60",,,,,,,"4,00",,"6,75","4,00",,,,,,,,,"5,00",,,,,,"8,50",,,"4,60",,"7,00","7,80","7,80","8,50",,"6,20","6,30","5,00",,"7,00","7,50","5,90",,"6,00","5,40","6,50","8,00",,"7,30","8,50","5,30","4,00",,,
Diem thi,"5,20","7,00","6,50","5,00","10,00","5,00",,"4,50","2,00","5,00","4,00","6,50","5,00","6,50","4,00","4,00","6,00","5,80","5,00","5,00","4,00","5,00","5,00","5,50","8,00","6,50","6,00","5,00","4,00","4,00","7,00","6,00","4,20","5,50","8,00",,"9,00","4,50","9,30",,"4,30","8,70","4,00",,"5,00","9,00","5,00","8,00",,"8,00","5,00","6,00","6,50",,,
Diem tong ket,"6,50","6,70","7,50","5,00","9,60","5,60",,"5,70","2,00","5,40","5,70","5,10","5,60","6,50","4,40","5,30","6,60","6,10","5,10","6,40","4,70","4,80","5,00","6,90","8,00","6,60","7,70","5,10","4,00","4,50","7,00","6,40","6,00","6,70","8,00",,"7,60","5,20","7,40",,"5,90","7,70","5,60",,"5,60","6,50","6,20","8,00",,"7,50","7,50","5,40","4,80",,"7,46",Kha
Diem thuong ki,,,,,,,,,,,,,,"7,60",,,,,,,,,"5,50",,,,,,,,,"8,00","7,40","7,60","8,00",,"7,00","6,50","6,00",,"5,60",,"7,20",,"9,50","8,50","8,00",,,"7,60","7,50","7,30",,,,
Diem thi,"5,00","8,00","5,50","8,00","7,00","6,50",,"6,50","6,00","6,00","5,20","8,80","8,00","7,00","8,00","9,00","4,60","6,00","7,50","8,00","6,20","5,00","6,00","6,80","4,00","8,00","4,00","7,50","7,90","5,00","6,40","7,00","5,50","7,00","7,00",,"5,00","5,00","7,50",,"5,50","6,70","7,00",,"5,00","8,50","7,00","8,00",,"7,50","6,50","7,00","7,90",,,
Diem tong ket,"6,00","8,00","6,90","8,40","7,00","6,70",,"7,50","6,20","6,40","6,10","7,70","8,80","7,30","8,40","9,00","5,00","5,60","7,50","8,50","6,60","6,00","5,90","7,50","5,20","7,20","5,10","7,50","8,10","6,40","6,20","7,70","6,90","7,40","8,10",,"6,40","6,20","6,60",,"5,60","6,80","6,90",,"6,90","8,20","7,40","8,00",,"7,60","7,30","7,20","7,90",,"6,93",Trung binh
Diem thuong ki,,,,,,,,,"6,90",,,,,"4,00",,,"6,00",,"5,00",,,,,,,,,"5,00",,,,"6,30","9,60","7,10","7,80",,"5,50","7,00","6,00",,"8,40",,"7,50",,"9,00","8,50",,"8,60",,"9,30","7,90","7,40","9,80",,,
Diem thi,"7,00","7,50","6,90","7,00","10,00","4,50",,"5,00","5,00","7,00","5,00","5,00","5,00","5,50","5,50","5,00","7,50","6,80","8,00","4,00","4,00","5,00","5,00","9,00","4,70","7,00","8,00","8,00","4,50","5,20","5,00","6,00","10,00","6,50","6,50",,"6,00","5,50","7,00",,"7,00","6,00","6,00",,"7,50","6,10","8,70","8,00",,"9,00","8,00","7,20","8,00",,,
Diem tong ket,"7,00","7,50","7,50","7,60","9,60","5,50",,"5,60","6,30","7,00","6,40","6,20","5,80","5,70","5,50","5,50","6,30","7,90","6,40","4,80","5,60","6,20","6,20","8,80","5,80","7,20","7,40","6,40","5,10","6,10","5,00","6,20","9,70","7,00","7,40",,"6,50","6,40","6,60",,"8,00","5,80","6,70",,"8,30","7,10","8,70","8,40",,"9,20","7,90","7,40","9,40",,"7,21",Kha
Diem thuong ki,,,,,,,,,,,,,,"7,80",,,,,,"7,50",,"8,00",,"7,50",,,,,,,,,,,"5,10",,"5,50","5,40","9,80",,"6,30","7,00","5,50",,"7,50","9,50","9,50",,,"8,60","8,50","8,50",,,,
Diem thi,"4,30","9,00","7,40","6,00","10,00","5,00",,"9,00","5,00","9,00","6,00","5,00","4,00","8,90","6,50","5,80","9,00","4,00","6,00","7,00","4,20","6,00","5,10","4,40","4,00","5,30","5,50","6,00","7,40","6,50","7,00","7,00","7,00","8,00","4,00",,"8,00","5,00","8,50",,"6,10","6,00","8,00",,"8,00","9,50","9,00","8,00",,"8,50","8,50","9,00","7,70",,,
Diem tong ket,"6,00","8,20","7,40","7,20","9,50","6,30",,"9,40","5,60","9,00","5,80","6,20","6,00","8,40","6,90","6,00","8,20","5,40","6,20","7,10","5,10","7,10","5,90","5,60","5,10","7,30","6,70","6,20","7,40","6,80","7,00","7,00","7,50","7,40","4,80",,"6,00","5,30","9,00",,"6,20","6,80","6,00",,"7,90","9,80","9,10","8,00",,"8,60","8,50","8,60","7,70",,"6,85",Trung binh
Diem thuong ki,,,,,,,,,,,,,,"5,50",,,,,,"7,00",,,,"8,00",,,,,"6,00",,,,,,,,"8,00","6,90","7,00",,"5,00","6,30","8,00",,"6,50","8,50","6,60",,,"8,30","7,30","8,50","7,70",,,
Diem thi,"6,50","5,50","5,00","7,50","6,00","9,00",,"7,20","5,00","6,10","5,30","7,00","5,00","4,00","7,00","5,40","6,50","5,10","6,00","6,50","4,80","6,00","6,00","7,50","6,00","4,40","7,50","6,00","5,50","6,00","10,00","7,00","5,80","6,50","5,50",,"8,00","5,00","5,00",,"5,50","4,00","8,00",,"5,50","8,50","9,00","9,10",,"8,50","8,00","8,00","7,00",,,
Diem tong ket,"7,30","6,00","6,20","7,90","6,00","9,00",,"6,90","6,20","6,60","5,80","7,20","6,20","4,60","7,40","6,60","6,70","6,20","6,60","6,80","6,30","5,80","6,80","7,90","7,60","5,60","7,90","6,60","5,30","6,40","9,60","7,00","6,80","6,50","5,60",,"8,30","6,30","6,50",,"5,20","5,60","8,30",,"5,60","8,50","7,80","9,10",,"8,40","7,40","8,40","7,50",,"7,01",Kha
Diem thuong ki,,,,,,,,,"5,00",,,,,"8,00",,,"5,00",,,,,,,"5,00",,,"6,60",,,"8,90",,"7,50","7,80","6,50","8,30",,"6,00","4,50",,,"8,30","4,00","6,00",,"7,00","7,50","8,50","8,20",,,"6,10","7,50","6,80",,,
Diem thi,"4,30","7,00","5,90","5,00","7,00","8,00",,"5,70","5,50","6,00","4,50","4,00","5,00","8,50","4,00","4,50","6,00","4,00","4,00","5,00","6,00","6,00","6,40","5,10","7,00","4,00","7,50","4,00","4,50","7,00","10,00","8,00","8,00","6,00","6,00",,"4,00","5,00","8,00",,"8,00","4,90","4,00",,"8,00","7,30","5,00","4,00",,"8,50","7,50","6,00","8,00",,,
Diem tong ket,"5,40","7,00","6,50","5,80","7,00","8,00",,"6,00","5,20","7,20","6,10","5,00","5,40","8,20","5,80","5,60","5,10","4,00","4,20","6,00","5,10","5,70","6,70","5,00","7,40","6,10","6,90","4,20","5,10","7,80","9,20","7,50","7,90","6,20","5,90",,"5,20","5,80","8,00",,"8,20","4,50","5,20",,"7,50","7,40","7,80","6,10",,"8,50","7,00","7,10","7,40",,"6,65",Trung binh
Diem thuong ki,,,,,,,,,,,,,,"4,00",,,,,,,,,"6,50","7,10",,,,,,,,,,,,,"5,00","6,30","10,00",,"10,00",,"5,00",,"8,00","8,40","8,00",,,"8,50","8,70","9,00",,,,
Diem thi,"5,10","5,50","6,50","5,00","7,00","5,50",,"5,00","5,50","8,00","4,00","6,50","7,00","5,00","4,40","6,10","7,00","5,00","8,00","6,00","5,00","5,30","6,00","6,50","4,60","8,00","8,00","8,00","6,20","4,00","10,00","5,50","6,80","7,00","8,00",,"5,00","4,00","5,00",,"9,00","6,00","5,00",,"6,00","8,00","5,50","7,50",,"9,00","9,00","7,00","8,50",,,
Diem tong ket,"6,10","5,60","6,70","6,00","7,00","6,10",,"5,00","6,10","8,20","4,80","7,10","7,00","5,10","5,50","6,90","7,60","5,80","8,00","6,60","6,00","6,20","6,50","7,00","5,70","8,50","8,20","8,00","6,10","5,10","10,00","6,10","6,70","7,00","8,20",,"5,00","5,60","7,50",,"9,20","7,00","5,00",,"7,40","8,20","6,60","7,50",,"8,60","8,80","8,60","8,50",,"6,79",Trung binh
Diem thuong ki,,,,,,,,,"5,30",,,,,,,,"7,00",,"6,50",,,,,"7,00",,,,"6,50",,"5,30",,"6,00","6,20","6,60",,,"6,60","6,80","6,30",,"8,00","7,40","6,60",,"7,00","7,50",,"7,60",,,"6,10","6,80","6,80",,,
Diem thi,"4,90","6,50","7,30","4,00","7,00","10,00",,"4,00","5,00","6,50","6,00","7,90","8,00","8,50","5,00","4,00","7,00","6,00","6,00","7,00","7,00","4,10","7,60","7,00","4,30","4,40","4,70","6,00","7,60","5,00","10,00","5,00","8,80","5,00","7,00",,"4,50","5,50","8,00",,"6,50","5,00","4,50",,"6,00","7,80","5,00","5,00",,"8,30","7,00","6,50","9,00",,,
Diem tong ket,"6,10","7,00","7,40","5,60","7,00","10,00",,"4,00","5,20","7,00","6,00","6,50","6,60","8,50","5,60","4,40","6,70","5,80","5,90","6,80","7,00","4,30","7,60","7,00","4,90","5,60","5,70","5,90","7,40","5,20","9,60","5,70","7,00","6,10","6,20",,"5,40","6,40","7,40",,"7,60","6,00","5,40",,"6,50","7,70","5,00","6,30",,"8,30","6,40","6,70","7,90",,"6,28",Trung binh
Diem thuong ki,,,,,,,,,"3,10",,,,,"5,00","5,50",,"6,00",,,,"5,40",,,"2,50",,,"4,60",,,"5,90",,"6,80","7,20","7,00","5,50",,"6,00","7,00","5,00",,,"7,00","6,00",,"9,00","8,30","6,00","6,80",,"4,00","6,30",,"4,50",,,
Diem thi,"6,90","5,00","5,00","6,50","4,70","5,00",,"7,50","7,00","10,00","8,90","7,00","5,00","7,50","6,00","6,00","5,00","7,60","6,40","5,50","6,50","6,90","4,00","5,00","9,50","5,00","5,00","6,40","4,00","5,00","6,00","5,30","5,00","6,50","4,90",,"7,00","6,00","4,00",,"8,50","7,00","7,00",,"8,30","7,70","6,50","8,00",,"4,00","6,50","7,70","7,00",,,
Diem tong ket,"6,70","5,90","5,80","6,50","5,80","6,40",,"5,90","4,30","10,00","7,30","6,20","4,60","6,00","5,90","6,60","5,30","8,20","6,40","5,10","5,80","6,70","4,40","4,00","8,80","4,80","4,70","6,40","4,00","5,60","6,00","6,10","6,00","7,00","5,10",,"6,50","6,50","4,40",,"8,50","7,00","6,50",,"8,60","8,20","6,20","7,40",,"4,00","6,60","7,70","5,70",,"6,07",Trung binh
